age,gender,region,account_type,tenure_years,credit_score,account_balance,num_products,monthly_transactions,complaints_12mo,debt_to_income,digital_engagement,has_active_loan,has_credit_card,annual_income_cleaned,complaints_12mo_missing,credit_score_missing,gender_missing,account_age_days,balance_income_ratio,txn_per_product,complaint_txn_ratio,low_engagement_flag
45,Female,Cebu,Checking,5.4,608.0,120176.7,1.0,12.0,1.0,0.604,94.0,1,1.0,50366.0,0,0,0,10594,2.3860679823216837,6.0,0.07692307692307693,0
37,Female,Luzon,Savings,2.8,684.0,159729.32,1.0,12.0,0.0,0.179,89.7,0,0.0,167968.0,0,1,0,8573,0.9509508954029877,6.0,0.0,0
54,Female,Visayas,Checking,1.0,580.0,29108.78,1.0,14.0,0.0,0.095,51.3,0,1.0,38699.0,0,0,0,6535,0.7521842941483712,7.0,0.0,0
35,Female,Visayas,Business,3.6,577.0,61995.31,,11.0,0.0,0.258,84.8,0,1.0,28000.0,0,0,0,5004,2.2141182142066387,,0.0,0
50,Female,Luzon,Savings,1.6,663.0,6406.88,4.0,13.0,0.0,0.214,21.7,0,0.0,52588.0,0,0,0,4240,0.12183159655963657,2.6,0.0,1
47,Male,Metro Manila,Checking,5.7,648.0,49224.04,1.0,24.0,0.0,0.265,32.1,1,0.0,32698.0,0,0,0,11540,1.505414398388115,12.0,0.0,1
59,Female,Metro Manila,Checking,1.9,650.0,46370.35,2.0,10.0,1.0,0.094,61.6,0,1.0,23756.0,0,0,0,6899,1.9519426670335096,3.3333333333333335,0.09090909090909091,0
48,Male,Metro Manila,Savings,0.7,616.0,165568.53,3.0,18.0,0.0,0.197,58.4,1,1.0,76039.0,0,0,0,8913,2.177415931269777,4.5,0.0,0
31,Male,Cebu,Savings,0.1,606.0,108215.89,3.0,17.0,0.0,0.613,63.5,1,0.0,77699.0,0,0,0,7011,1.392757821833064,4.25,0.0,0
28,Female,Visayas,Premium,0.1,798.0,19587.97,1.0,24.0,3.0,0.175,70.3,1,1.0,29762.0,0,0,0,9886,0.6581536858860912,12.0,0.12,0
43,Female,Cebu,Checking,3.0,850.0,102201.72,3.0,20.0,0.0,0.548,76.7,1,0.0,36373.0,0,0,0,9137,2.809823770301877,5.0,0.0,0
47,Male,Metro Manila,Savings,3.0,791.0,31881.34,,14.0,0.0,0.29,74.5,0,1.0,17026.0,0,0,0,7797,1.8725091036137373,,0.0,0
30,Female,Cebu,Checking,2.3,646.0,91282.21,3.0,11.0,0.0,0.476,73.1,0,0.0,32722.0,0,0,0,6393,2.789628078883026,2.75,0.0,0
41,Female,Cebu,Savings,2.3,673.0,128711.92,2.0,15.0,0.0,0.453,78.9,0,1.0,43131.0,0,0,0,4938,2.9842090375139874,5.0,0.0,0
41,Male,Mindanao,Savings,5.7,738.0,54333.15,2.0,16.0,0.0,0.077,37.9,1,0.0,34000.0,0,0,0,9893,1.5980338234824107,5.333333333333333,0.0,1
23,Female,Metro Manila,Business,2.1,825.0,31142.7,5.0,14.0,1.0,0.16,70.3,1,1.0,70139.0,0,0,1,7725,0.44401402927837563,2.3333333333333335,0.06666666666666667,0
28,Prefer not to say,Mindanao,Savings,5.8,798.0,107821.97,2.0,16.0,0.0,0.107,61.6,1,1.0,61638.0,0,0,0,9665,1.7492775560247042,5.333333333333333,0.0,0
44,Prefer not to say,Cebu,Premium,13.6,526.0,54793.65,1.0,17.0,0.0,0.392,52.7,0,1.0,25644.0,0,0,0,10055,2.136704492195574,8.5,0.0,0
18,Male,Cebu,Premium,3.1,830.0,54271.01,1.0,13.0,0.0,0.182,84.7,1,1.0,20588.0,1,0,0,11945,2.6360506118789564,6.5,0.0,0
52,Female,Cebu,Savings,1.2,705.0,92634.05,1.0,16.0,0.0,0.591,43.8,0,1.0,40151.0,0,0,0,6290,2.307141789686256,8.0,0.0,0
40,Prefer not to say,Luzon,Business,0.1,598.0,260122.93,1.0,16.0,0.0,0.258,57.6,0,1.0,156830.0,0,0,0,3310,1.6586299177347532,8.0,0.0,0
42,Male,Metro Manila,Savings,5.4,684.0,199194.99,1.0,13.0,1.0,0.486,88.8,0,1.0,141255.0,0,1,0,11987,1.410180099809492,6.5,0.07142857142857142,0
62,Male,Metro Manila,Savings,5.6,684.0,20947.81,,16.0,0.0,0.423,61.2,0,0.0,66920.0,0,0,0,5694,0.31302764494451546,,0.0,0
39,Male,Metro Manila,Savings,3.2,649.0,82532.79,5.0,21.0,0.0,0.446,71.6,0,1.0,58270.0,0,0,0,9389,1.4163856186473933,3.5,0.0,0
55,Male,Metro Manila,Business,4.8,684.0,85045.77,1.0,22.0,3.0,0.786,30.4,1,1.0,55313.0,0,1,0,7559,1.5375367454027529,11.0,0.13043478260869565,1
43,Male,Metro Manila,Checking,9.2,695.0,49979.33,1.0,12.0,1.0,0.163,87.0,1,1.0,96000.0,0,0,0,8832,0.5206180208279103,6.0,0.07692307692307693,0
53,Male,Metro Manila,Checking,1.7,632.0,220249.33,3.0,18.0,1.0,0.421,82.1,1,0.0,90102.0,0,0,0,10993,2.4444444074222056,4.5,0.05263157894736842,0
50,Male,Metro Manila,Business,10.7,822.0,98960.36,2.0,10.0,0.0,0.258,62.6,1,0.0,55832.0,0,0,0,7769,1.772466685739854,3.3333333333333335,0.0,0
56,Female,Luzon,Savings,10.7,673.0,62139.56,2.0,15.0,0.0,0.268,79.9,1,0.0,84421.0,0,0,0,10693,0.7360675661181926,5.0,0.0,0
42,Male,Luzon,Premium,1.5,684.0,314615.34,3.0,24.0,0.0,0.165,63.8,0,1.0,106354.0,0,1,0,4558,2.958190006930081,6.0,0.0,0
40,Female,Metro Manila,Checking,11.9,658.0,27782.72,1.0,14.0,0.0,0.166,23.7,0,1.0,20000.0,0,0,0,788,1.3891359999305433,7.0,0.0,1
53,Male,Luzon,Business,5.3,706.0,55486.49,4.0,24.0,2.0,0.311,43.2,0,0.0,46055.0,0,0,0,2475,1.2047875366148129,4.8,0.08,0
51,Female,Cebu,Checking,0.4,665.0,141764.93,1.0,18.0,0.0,0.273,12.9,0,0.0,74769.0,0,0,0,3039,1.8960388663497434,9.0,0.0,1
44,Male,Davao,Premium,1.5,837.0,12430.49,,19.0,0.0,0.162,78.3,1,1.0,29995.0,1,0,0,1489,0.41441873644225974,,0.0,0
47,Male,Metro Manila,Savings,0.4,503.0,48907.17,2.0,10.0,0.0,0.112,64.5,1,0.0,32371.0,0,0,0,6842,1.51083284416574,3.3333333333333335,0.0,0
48,Female,Metro Manila,Savings,8.8,704.0,113144.96,3.0,17.0,3.0,0.208,34.7,0,0.0,80813.0,0,0,1,2648,1.4000836498904872,4.25,0.16666666666666666,1
53,Female,Visayas,Checking,1.0,684.0,87789.2,2.0,27.0,0.0,0.457,36.6,0,0.0,48779.0,0,1,1,8974,1.7997334918346064,9.0,0.0,1
28,Male,Metro Manila,Checking,1.4,684.0,138439.01,2.0,15.0,0.0,0.371,61.6,1,1.0,60014.0,0,1,0,8150,2.306778584958397,5.0,0.0,0
32,Female,Metro Manila,Checking,4.7,741.0,77393.54,5.0,15.0,4.0,0.258,96.2,0,1.0,33398.0,0,0,0,8506,2.3173106173328546,2.5,0.25,0
44,Male,Visayas,Savings,10.9,684.0,44751.82,2.0,14.0,0.0,0.474,42.2,0,1.0,20732.0,0,1,0,1971,2.1585867257303404,4.666666666666667,0.0,0
59,Male,Mindanao,Savings,1.1,673.0,164413.02,3.0,21.0,0.0,0.23,52.9,1,1.0,85000.0,0,0,0,2354,1.9342708235066557,5.25,0.0,0
46,Male,Mindanao,Checking,0.4,684.0,97812.94,3.0,28.0,1.0,0.211,77.1,0,1.0,84098.0,0,1,0,1371,1.1630828319203421,7.0,0.034482758620689655,0
53,Female,Metro Manila,Checking,5.8,668.0,45372.64,1.0,10.0,1.0,0.318,54.4,0,1.0,22195.0,0,0,0,12251,2.044273034375117,5.0,0.09090909090909091,0
49,Male,Davao,Premium,3.9,576.0,114329.89,4.0,17.0,5.0,0.242,97.5,1,1.0,50904.0,0,0,0,11903,2.245990295413995,3.4,0.2777777777777778,0
45,Female,Davao,Checking,1.1,592.0,54552.1,3.0,12.0,0.0,0.258,63.5,0,1.0,34192.0,0,0,0,8338,1.5954638511465997,3.0,0.0,0
44,Male,Metro Manila,Savings,22.8,727.0,83106.78,2.0,18.0,0.0,0.147,38.7,0,1.0,38501.0,0,0,0,6310,2.158561595746641,6.0,0.0,1
50,Male,Luzon,Checking,8.1,647.0,44103.27,2.0,18.0,1.0,0.479,53.7,1,1.0,39881.0,0,0,0,3857,1.105871718334398,6.0,0.05263157894736842,0
29,Female,Metro Manila,Savings,0.5,568.0,140890.58,1.0,13.0,0.0,0.282,59.7,1,1.0,83492.0,1,0,0,2782,1.6874740094657275,6.5,0.0,0
50,Female,Luzon,Savings,3.8,681.0,53688.82,2.0,17.0,0.0,0.382,74.5,0,1.0,129922.0,0,0,0,5186,0.4132388663935805,5.666666666666667,0.0,0
67,Female,Visayas,Checking,2.7,709.0,134996.88,,17.0,1.0,0.329,68.3,0,1.0,86447.0,0,0,0,8365,1.5616143995562415,,0.05555555555555555,0
42,Male,Luzon,Premium,5.7,850.0,58130.66,1.0,18.0,0.0,0.136,46.5,1,0.0,23274.0,0,0,0,10403,2.497665205701742,9.0,0.0,0
54,Male,Davao,Checking,0.7,796.0,289821.86,4.0,17.0,1.0,0.32,87.0,1,0.0,112040.0,0,0,0,7332,2.5867713316441736,3.4,0.05555555555555555,0
40,Female,Metro Manila,Savings,7.4,702.0,59851.0,,22.0,0.0,0.498,55.4,1,1.0,46000.0,0,0,0,11256,1.3011086956238889,,0.0,0
35,Male,Davao,Business,12.3,604.0,63028.39,1.0,13.0,0.0,0.353,80.9,0,1.0,22387.0,0,0,0,6989,2.815401348871425,6.5,0.0,0
55,Male,Cebu,Business,3.9,729.0,167249.36,1.0,16.0,0.0,0.127,34.4,1,1.0,75990.0,0,0,0,10748,2.200939070901422,8.0,0.0,1
36,Male,Luzon,Checking,1.8,775.0,105880.82,1.0,14.0,0.0,0.158,86.3,0,0.0,65000.0,0,0,0,8076,1.628935692282632,7.0,0.0,0
36,Female,Metro Manila,Premium,4.6,753.0,21609.23,,18.0,0.0,0.309,82.2,0,1.0,32302.0,0,0,0,4859,0.668974986048264,,0.0,0
76,Male,Cebu,Checking,7.0,615.0,372120.04,1.0,18.0,1.0,0.258,56.4,1,1.0,179986.0,0,0,0,3431,2.0674943606610094,9.0,0.05263157894736842,0
44,Male,Luzon,Savings,1.0,842.0,101400.59,,18.0,0.0,0.232,50.3,1,1.0,35854.0,0,0,0,2705,2.8281527862211147,,0.0,0
21,Male,Visayas,Premium,6.4,767.0,88616.12,1.0,21.0,2.0,0.528,25.4,1,1.0,30168.0,0,0,0,10969,2.9374211083619257,10.5,0.09090909090909091,1
43,Female,Cebu,Savings,5.6,589.0,163167.22,2.0,28.0,0.0,0.095,69.3,1,0.0,57611.0,0,0,1,10956,2.8322233600730375,9.333333333333334,0.0,0
62,Female,Cebu,Savings,0.3,720.0,92635.87,2.0,17.0,3.0,0.321,61.6,1,1.0,43750.0,0,0,0,6279,2.1173913142373166,5.666666666666667,0.16666666666666666,0
48,Female,Metro Manila,Savings,11.7,685.0,210857.34,4.0,15.0,0.0,0.051,83.0,1,1.0,89587.0,0,0,0,4816,2.353660017610215,3.0,0.0,0
58,Male,Visayas,Premium,4.5,646.0,51359.61,1.0,26.0,0.0,0.102,61.6,0,1.0,32000.0,1,0,0,1749,1.6049878124498442,13.0,0.0,0
29,Male,Metro Manila,Savings,6.0,732.0,64699.84,3.0,17.0,0.0,0.317,54.0,1,1.0,43259.0,0,0,0,3478,1.4956388265679825,4.25,0.0,0
32,Female,Visayas,Premium,11.4,799.0,283852.16,5.0,15.0,2.0,0.228,68.5,0,1.0,111609.0,0,0,0,7985,2.5432730335139344,2.5,0.125,0
54,Male,Metro Manila,Checking,2.6,725.0,70607.17,5.0,24.0,0.0,0.273,87.2,1,1.0,38758.0,0,0,0,9123,1.8217444140094496,4.0,0.0,0
32,Male,Davao,Premium,3.8,631.0,86751.92,4.0,23.0,2.0,0.431,28.7,0,1.0,89903.0,0,0,0,8437,0.9649502241197185,4.6,0.08333333333333333,1
27,Female,Metro Manila,Savings,8.6,626.0,157747.53,2.0,19.0,1.0,0.419,48.0,0,1.0,86000.0,0,0,1,9100,1.8342736046298342,6.333333333333333,0.05,0
34,Female,Metro Manila,Savings,3.3,620.0,80004.05,4.0,13.0,0.0,0.094,40.2,0,1.0,66700.0,0,0,0,6857,1.1994610194722721,2.6,0.0,0
57,Female,Metro Manila,Checking,2.3,787.0,12340.09,2.0,20.0,0.0,0.308,45.1,0,0.0,33739.0,0,0,0,10396,0.3657515041831189,6.666666666666667,0.0,0
48,Male,Metro Manila,Checking,3.7,757.0,17275.44,3.0,16.0,0.0,0.258,49.5,1,1.0,36500.0,1,0,0,1942,0.4732997260144301,4.0,0.0,0
65,Male,Luzon,Premium,1.4,558.0,12123.98,1.0,16.0,0.0,0.139,75.0,0,1.0,26631.0,0,0,0,4913,0.45525815776894374,8.0,0.0,0
44,Male,Cebu,Checking,2.8,807.0,134301.95,1.0,10.0,0.0,0.228,73.5,1,1.0,50000.0,0,0,0,4323,2.6860389999462795,5.0,0.0,0
43,Female,Luzon,Business,3.6,749.0,91978.0,2.0,19.0,0.0,0.378,37.2,0,1.0,30913.0,0,0,0,4703,2.9753825250549806,6.333333333333333,0.0,1
44,Female,Luzon,Savings,3.1,777.0,147185.48,1.0,14.0,4.0,0.059,34.5,0,1.0,144905.0,0,0,0,5007,1.0157377592145493,7.0,0.26666666666666666,1
59,Female,Metro Manila,Checking,5.3,662.0,54463.68,2.0,23.0,0.0,0.122,50.4,1,1.0,34158.0,0,0,0,11853,1.5944633760292035,7.666666666666667,0.0,0
42,Female,Cebu,Premium,0.4,850.0,118474.63,1.0,18.0,0.0,0.199,57.0,1,1.0,42567.0,0,0,0,9515,2.7832506401018806,9.0,0.0,0
18,Female,Metro Manila,Savings,6.7,554.0,102634.82,1.0,18.0,0.0,0.419,57.0,0,0.0,56618.0,0,0,0,10245,1.812759546401979,9.0,0.0,0
51,Female,Metro Manila,Business,0.3,758.0,56651.34,1.0,21.0,0.0,0.258,57.4,0,1.0,27324.0,0,0,0,7393,2.0733179621551265,10.5,0.0,0
65,Female,Cebu,Premium,1.1,765.0,38467.96,3.0,9.0,1.0,0.316,56.3,0,1.0,15000.0,0,0,0,6257,2.5645306664956977,2.25,0.1,0
46,Female,Metro Manila,Savings,5.2,764.0,66623.72,1.0,22.0,3.0,0.383,56.0,0,1.0,72904.0,0,0,1,9954,0.9138554811681959,11.0,0.13043478260869565,0
40,Female,Cebu,Checking,3.4,644.0,189827.41,4.0,18.0,0.0,0.607,56.2,0,1.0,97852.0,0,0,0,10900,1.9399440992321064,3.6,0.0,0
62,Female,Luzon,Checking,1.5,640.0,63678.69,2.0,15.0,0.0,0.342,59.8,0,1.0,31312.0,0,0,1,10251,2.0336832523622355,5.0,0.0,0
29,Male,Metro Manila,Premium,0.5,638.0,458603.26,1.0,14.0,0.0,0.586,80.7,0,0.0,167000.0,0,0,0,11062,2.7461273053727777,7.0,0.0,0
37,Female,Visayas,Checking,8.8,702.0,104122.03,2.0,20.0,0.0,0.325,59.5,1,0.0,66018.0,1,0,0,12022,1.5771763761159507,6.666666666666667,0.0,0
33,Male,Metro Manila,Premium,11.2,710.0,70689.86,4.0,17.0,4.0,0.258,51.1,0,1.0,35323.0,0,0,0,4266,2.001241683832029,3.4,0.2222222222222222,0
22,Female,Mindanao,Savings,0.6,684.0,113281.52,6.0,22.0,0.0,0.207,30.2,1,1.0,48653.0,0,1,0,2973,2.328356319192478,3.142857142857143,0.0,1
52,Female,Luzon,Savings,2.1,583.0,101640.04,,16.0,0.0,0.109,49.1,0,1.0,68425.0,1,0,0,6267,1.4854225794448606,,0.0,0
42,Female,Luzon,Savings,5.3,640.0,25500.16,2.0,20.0,0.0,0.145,92.0,1,1.0,34611.0,0,0,1,11455,0.7367646123851733,6.666666666666667,0.0,0
18,Male,Metro Manila,Checking,6.3,741.0,80423.74,2.0,17.0,0.0,0.24,61.6,0,0.0,78300.0,0,0,0,963,1.0271231162065504,5.666666666666667,0.0,0
62,Female,Cebu,Savings,0.7,684.0,72687.85,3.0,16.0,2.0,0.258,87.2,1,0.0,26336.0,0,1,0,1738,2.760018605606014,4.0,0.11764705882352941,0
63,Male,Metro Manila,Checking,5.5,776.0,48220.62,3.0,24.0,0.0,0.068,57.6,1,1.0,22028.0,0,0,0,2114,2.189060286808196,6.0,0.0,0
43,Female,Davao,Checking,3.8,684.0,115317.49,4.0,22.0,0.0,0.269,49.9,1,0.0,83581.0,0,1,0,8659,1.3797093836951018,4.4,0.0,0
48,Male,Visayas,Checking,2.9,784.0,129203.49,1.0,16.0,4.0,0.143,61.6,0,1.0,46100.0,0,0,0,5221,2.8026787418047143,8.0,0.23529411764705882,0
41,Female,Mindanao,Savings,1.7,783.0,48487.53,2.0,21.0,0.0,0.608,79.1,0,1.0,45414.0,0,0,0,3557,1.0676780287781813,7.0,0.0,0
51,Male,Cebu,Premium,7.3,563.0,98752.53,4.0,16.0,0.0,0.633,89.1,0,0.0,34177.0,0,0,0,2749,2.889444070489234,3.2,0.0,0
62,Male,Metro Manila,Checking,1.6,738.0,97836.92,2.0,17.0,0.0,0.493,79.5,0,1.0,51403.0,1,0,0,11920,1.9033309339551518,5.666666666666667,0.0,0
30,Female,Luzon,Checking,9.8,685.0,26687.6,2.0,20.0,2.0,0.221,61.6,1,0.0,18910.0,0,0,0,12349,1.4112956107133106,6.666666666666667,0.09523809523809523,0
39,Male,Luzon,Business,0.1,737.0,62700.21,1.0,23.0,0.0,0.2,48.4,1,1.0,34782.0,0,0,0,12415,1.802662584043394,11.5,0.0,0
37,Female,Cebu,Premium,1.7,498.0,82049.06,2.0,14.0,0.0,0.195,77.4,1,1.0,92615.0,0,0,0,7082,0.8859154564499713,4.666666666666667,0.0,0
53,Female,Metro Manila,Premium,7.3,684.0,26853.17,3.0,11.0,0.0,0.626,50.3,1,1.0,56591.0,0,1,0,5673,0.474513085111157,2.75,0.0,0
50,Female,Mindanao,Checking,7.6,687.0,49354.36,2.0,17.0,0.0,0.186,45.4,0,0.0,37000.0,0,0,0,2660,1.3339016215855701,5.666666666666667,0.0,0
60,Male,Metro Manila,Premium,3.9,789.0,32904.67,4.0,10.0,1.0,0.109,36.7,1,1.0,39731.0,0,0,0,5830,0.8281863028660696,2.0,0.09090909090909091,1
18,Female,Luzon,Checking,2.9,711.0,11295.62,1.0,21.0,0.0,0.308,57.7,0,1.0,15000.0,0,0,0,11558,0.7530413332831306,10.5,0.0,0
27,Male,Luzon,Checking,2.0,805.0,113630.01,4.0,18.0,0.0,0.261,60.7,0,1.0,51655.0,0,0,0,6186,2.1997872422379285,3.6,0.0,0
50,Male,Luzon,Savings,1.1,569.0,39515.96,2.0,14.0,1.0,0.161,20.5,0,1.0,62785.0,0,0,0,1242,0.6293853627358543,4.666666666666667,0.06666666666666667,1
20,Male,Cebu,Savings,2.0,763.0,31254.77,2.0,23.0,0.0,0.255,83.0,0,1.0,23367.0,0,0,0,10462,1.3375602344615243,7.666666666666667,0.0,0
46,Male,Cebu,Business,9.7,602.0,38569.42,6.0,13.0,0.0,0.258,49.2,1,1.0,105122.0,0,0,0,435,0.36690150491460494,1.8571428571428572,0.0,0
47,Female,Davao,Business,6.0,699.0,19608.92,2.0,17.0,1.0,0.485,31.4,1,0.0,31734.0,0,0,0,3094,0.6179151698299011,5.666666666666667,0.05555555555555555,1
